,city_id,year,month,day,max_temperature,min_temperature
0,0,2018,10,20,12.44,2.56
0,0,2018,10,19,14.44,2.44
0,0,2018,10,18,15.75,7.44
0,0,2018,10,17,20.57,6.0
0,0,2018,10,16,20.57,6.56
0,0,2018,10,15,21.13,8.13
0,0,2018,10,14,23.99,11.56
0,0,2018,10,13,25.0,12.13
0,0,2018,10,12,25.0,11.12
0,0,2018,10,11,23.99,12.13
0,0,2018,10,10,22.99,12.25
0,0,2018,10,9,18.57,8.01
0,0,2018,10,8,15.0,4.13
0,0,2018,10,7,14.0,2.12
0,0,2018,10,6,22.44,11.43
0,0,2018,10,5,20.01,9.13
0,0,2018,10,4,15.0,11.12
0,0,2018,10,3,14.56,6.44
0,0,2018,10,2,10.43,9.01
0,0,2018,10,1,14.0,4.01
0,0,2018,9,30,18.0,2.88
0,0,2018,9,29,14.56,3.69
0,0,2018,9,28,16.0,3.31
0,0,2018,9,27,22.99,9.99
0,0,2018,9,26,17.56,14.56
0,0,2018,9,25,14.0,4.57
0,0,2018,9,24,12.87,4.44
0,0,2018,9,23,13.57,7.44
0,0,2018,9,22,17.0,8.88
0,0,2018,9,21,30.0,10.56
0,0,2018,9,20,29.44,16.0
0,0,2018,9,19,29.01,16.0
0,0,2018,9,18,30.0,15.0
0,0,2018,9,17,26.99,12.57
0,0,2018,9,16,22.01,10.56
0,0,2018,9,15,20.01,9.01
0,0,2018,9,14,19.57,10.99
0,0,2018,9,13,16.0,13.01
0,0,2018,9,12,26.88,13.44
0,0,2018,9,11,26.56,17.0
0,0,2018,9,10,26.88,16.0
0,0,2018,9,9,25.0,12.13
0,0,2018,9,8,21.57,13.13
0,0,2018,9,7,22.99,10.43
0,0,2018,9,6,25.0,15.0
0,0,2018,9,5,25.0,15.13
0,0,2018,9,4,25.87,15.0
0,0,2018,9,3,28.57,15.56
0,0,2018,9,2,22.99,18.57
0,0,2018,9,1,22.01,14.44
0,0,2018,8,31,20.44,9.44
0,0,2018,8,30,19.01,10.56
0,0,2018,8,29,27.44,15.69
0,0,2018,8,28,21.44,12.13
0,0,2018,8,27,22.01,14.56
0,0,2018,8,26,20.57,12.13
0,0,2018,8,25,21.44,8.57
0,0,2018,8,24,22.56,14.0
0,0,2018,8,23,33.99,18.57
0,0,2018,8,22,28.01,15.13
0,0,2018,8,21,22.99,12.69
0,0,2018,8,20,23.99,16.88
0,0,2018,8,19,30.0,16.0
0,0,2018,8,18,26.01,14.44
0,0,2018,8,17,32.01,17.44
0,0,2018,8,16,29.01,18.13
0,0,2018,8,15,24.43,14.13
0,0,2018,8,14,23.87,17.0
0,0,2018,8,13,31.01,16.44
0,0,2018,8,12,26.99,13.57
0,0,2018,8,11,23.43,11.56
0,0,2018,8,10,23.99,15.82
0,0,2018,8,9,33.99,20.01
0,0,2018,8,8,36.99,20.44
0,0,2018,8,7,35.01,22.12
0,0,2018,8,6,29.01,17.69
0,0,2018,8,5,25.44,14.0
0,0,2018,8,4,33.01,17.54
0,0,2018,8,3,32.01,20.69
0,0,2018,8,2,31.44,21.01
0,0,2018,8,1,30.44,22.44
0,0,2018,7,31,35.01,24.12
0,0,2018,7,30,32.01,20.13
0,0,2018,7,29,29.01,21.13
0,0,2018,7,28,32.01,18.0
0,0,2018,7,27,30.57,19.69
0,0,2018,7,26,32.01,16.03
0,0,2018,7,25,32.01,18.57
0,0,2018,7,24,30.0,19.01
0,0,2018,7,23,26.99,15.44
0,0,2018,7,22,26.99,17.44
0,0,2018,7,21,26.99,16.12
0,0,2018,7,20,26.01,13.01
0,0,2018,7,19,25.57,12.0
0,0,2018,7,18,26.56,16.44
0,0,2018,7,17,28.01,15.99
0,0,2018,7,16,28.01,17.44
0,0,2018,7,15,24.56,14.0
0,0,2018,7,14,22.99,12.44
0,0,2018,7,13,26.56,15.44
0,0,2018,7,12,19.12,14.44
0,0,2018,7,11,23.43,14.0
0,0,2018,7,10,19.12,13.56
0,0,2018,7,9,22.99,14.44
0,0,2018,7,8,26.99,16.88
0,0,2018,7,7,25.44,15.0
0,0,2018,7,6,22.99,12.0
0,0,2018,7,5,30.88,16.0
0,0,2018,7,4,30.44,16.12
0,0,2018,7,3,26.99,12.0
0,0,2018,7,2,23.99,10.43
0,0,2018,7,1,21.44,9.99
0,0,2018,6,30,21.57,10.56
0,0,2018,6,29,29.57,11.56
0,0,2018,6,28,27.57,16.44
0,0,2018,6,27,24.56,15.0
0,0,2018,6,26,23.56,13.01
0,0,2018,6,25,21.44,10.88
0,0,2018,6,24,15.56,12.0
0,0,2018,6,23,19.39,12.0
